,podcast name,review name,review score,review text
0,Think Again – a Big Think Podcast,Scintillating Conversations!,5,"Stumbling onto these podcasts has been a breath of fresh air to me! The conversations are insightful, informative and all over the sphere of what it means to be human. They have taken me ‘home’ to where I used to be studying Anthropology for my undergrad, before things in life distracted me from the things I enjoy to ponder. Thank you, thank you, thank you Jason!"
1,Think Again – a Big Think Podcast,Excellent podcast!,5,"I've been listening to this show from the start. Jason just keeps getting deeper and deeper with these podcasts. The incredible conversation with Jennifer Doudna is worth listening to for everyone. I've been sharing this particular episode with friends and family.
2020 review update:
This podcast keeps getting deeper! The new format provides much more relevant prompts for conversation. Thank you!"
2,Think Again – a Big Think Podcast,Great Podcast,5,"Think Again delivers smart, engaging, often funny interviews with people I’d mostly never heard of before, but am now glad I have. I’ve found some of my favorite books, movies, and podcasts by listening to Jason Gots’s interviews and then following up with the interviewees’ original works. If you are looking for something that will both spark your intellectual curiosity and engage you emotionally, look no further. It’s clear that Jason reads, watches, and listens to his subjects’ material closely in order to generate exceedingly smart, dynamic conversations. Awesome.
My personal favorites (in no particular order, and keep in mind I’ve missed many of Think Again’s first year of interviews):
Karen Armstrong (theologian)
Reginal Dwayne Betts (poet)
Etgar Keret (author)
Marlon James (author)
Christopher Wylie (Cambridge Analytica whistleblower)
Jill Lepore (Historian)
Jeffery Israel (political philosopher)
Eve Ensler (author of The Apology)
Wesley Yang (author of The Souls of Yellow Folk)
Jonathan Safran Foer (on factory farming)"
3,Think Again – a Big Think Podcast,Great conversations with people,5,"I’ve been listening to this show for many years and has truly been a wonderful experience. This show has kept me up to date with the world and how to think about issues we face today.
It has inspired me to keep reading and writing. I hope to continue to listen to this show for many years to come"
4,Think Again – a Big Think Podcast,Profoundly beautiful show.,5,"A treat every time, deep interviews with some incredible guests
Thank you !!"
5,Think Again – a Big Think Podcast,Refreshingly Smart,5,One of my weekly must not miss podcasts. Love the books I discover from my listening. Thank you Adam.
6,Think Again – a Big Think Podcast,Your Podcasts are truly enlightening,5,"I wish I had more time to listen to all the previous podcast episodes. Just today discovered them. And listening to the 4th now.
Just such high quality themes and discussions. A real treat for my brain and soul 😘. Thank you 🙏
Will share
Angelika"
7,Think Again – a Big Think Podcast,Fantastic,5,A terrific podcast. Very interesting guests and topics. Thanks.
8,Think Again – a Big Think Podcast,Gets my brain moving,5,"My favorite of the cerebral podcasts, although I really like “Philosophize This!” too. Jason keeps it humble and pulls it apart with great questions posed to excellent guests."
9,Think Again – a Big Think Podcast,The new logo...,1,"Is sooooo ugly, it makes me so sad and uncomfortable :("
10,Presentable,It’s growing!,5,It feels like Jeff is getting better with the questions each episode. I greatly appreciate him bring designers from a variety of fields. I alway look forward to new episode.
11,Presentable,Always listen,5,I always listen to this podcast. I am a creative director and have for a long time followed Jeff and his work since the past 15 years. The guest and his content here is very good and often challenges my thinking and perspective in ways that few other content channels do.
12,Presentable,"Wonderful, almost easy listening design podcast",5,I love listening to Presentable. It makes me help relax while learning about lots of different design topics and get to know great people. Can't recommend it highly enough!
13,Presentable,"inspiring, whether you are a designer or not",5,"While I'm a writer, not a designer, Jeff's podcast shows me the flipside of branding: look, as opposed to voice. I loved the episode about designing a space for creatives and what's most conducive to different types of work. All the episodes I've listened to have featured awesome, interesting interviewees from a wide range of disciplines. Tune in!"
14,Presentable,Real conversations about design + more,5,"Presentable is one of my favorite podcasts because it is about so much more than design. Not being a designer myself, I find Jeff's conversations cover everything from politics to art to research. The insight from Jeff himself, as well as his guests, has impacted my work thinking processes and the way I think about products I interact with. Every episode is a great listen, diverse, and thought provoking. Must listen -- for designers and non designers!"
15,Presentable,Insightful and Inspiring,5,A colleague turned me on to this podcast and I'm so glad they did. Each episode provides a wonderful glimpse into the world of UX from the perspectives and experiences of other UX Designers facing similar challenges in our field. It's great to hear others share their stories and possible solutions and know I'm not alone—or crazy!—in my thinking. Thanks Jeff and keep up the good work!
16,Hay House Radio Podcast,So very helpful,5,Every time I’m on HH Radio I feel calmed and relaxed like everything that’s happening right that minute slows down to were I can be happy and relaxed. Also all the host are very calm and that’s what makes me feel calm. Thank you HH!
17,Hay House Radio Podcast,Not live radio anymore,2,I’m very disappointed in HH radio. I loved to listen live and call in to ask questions. Not anymore! All are pre-recorded.
18,Hay House Radio Podcast,Awesome Podcast!!!,5,"The host of the Hay House Radio podcast, highlights all aspects of health, wellness and more in this can’t miss podcast! The host and expert guests offer insightful advice and information that is helpful to anyone that listens!"
19,Hay House Radio Podcast,With metta,5,"Thank you so much, dear Louise and all all. It is helpful and really healing book, filled with loving kindness, harmony and compassion, it sounds so pure, simple, clear and wise."
20,Hay House Radio Podcast,Life changing,5,Hay House speakers are always thought provoking and thought provoking. LOVE Hay House.
21,Hay House Radio Podcast,Anita Morjany L F E,5,I just now listened to Life Force Energy. O My GOD! I Needed to hear This Awesome Teaching So Very Desperately! GOD! Bless You Anita Morjani!!! Many Thanks Indeed!!!
22,Hay House Radio Podcast,Highlights from the House,5,Great highlights from various authors from the Hay House family. The podcast gives me the opportunity to be introduced to them and the work they do.
23,Hay House Radio Podcast,Awesome,5,Thanks for the great show
24,Hay House Radio Podcast,"""Overcoming the Past""",5,"I've only listened to one episode, but I love it. It's on trauma and PTSD. So thankful to have come across this."
25,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,Friend,5,"I Love this podcast! It has been great in the past, but right now, during this Covid thing, Michael has been inspirational and amazing!"
26,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,Dr. Dain Heer’s Interview,1,"Such an irresponsible episode. Had to turn it off. Yes, I'm all about not buying into the media’s hype during these turbulent times but to completely downplay what's going on and boast about giving hugs at the Dentist office because you're not afraid of getting ”some virus” has to be one of the most ignorant statements I've heard throughout all of this."
27,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,COVID interview,2,"I listened to Dr. Dain Heer’s interview. Pure negligence to say it’s ok to hug during the COVID pandemic, and that isolation is worse than the virus. Made me sick to listen to. Social isolation IS real and necessary. Listening to the news is important now. We need information. Hundreds of people are dying every day in the U.S. and everywhere from SUFFOCATION. What’s true is that this virus needs to be stopped. Get your head out of the clouds, this is serious. I was shocked that Michael would even be a part of such an interview. It’s time for facts, not feelings. We’re in survival mode. Don’t get me wrong- I DO see the love and light despite it all.
I do appreciate that Michael has toned down the manic “woo-hoos”. I do love the show over all."
28,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,One of best if Not the BEST,5,Just listened to another interview and Michael knocked it out of the park. Michael has the best podcast I’ve ever had pleasure to listen. I’m all about being natural and real to self spirit and soul. His guests are the best. And Michael is the best interviewer! Good Work Michael!!
29,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,I’m hooked,5,"Michael and Jessica, you both bring on the best people to interview. I’m so grateful I came across your podcast. I’m hooked!"
30,Inspire Nation | Daily Inspiration - Motivation - Meditation | Law of Attraction | Health | Career | Spirituality | Self-Help,Inspire nation,3,I do enjoy this show ..But lately it seems to have a lot of reruns and when CJ Lui is on as a guest I skip it ... Whatever they talk about has nothing to do with the title and it’s just boring ... The first years were awesome!!
